Genus,NCBI Species Count,TAXA Species Count,WoRMS Species Count
Aponchium,0,2.0,2
Aponcholaimus,0,1.0,1
Aponema,2,9.0,18
Aporcedorus,0,2.0,2
Aporcelaimellus,113,76.0,50
Aporcelaimidae,1,0,0
Aporcelaimoides,0,14.0,0
Aporcelaimus,4,35.0,49
Aporcelinus,12,41.0,34
Aporcella,13,5.0,22
Apratylenchoides,0,3.0,3
Apratylenchus,2,0,2
Aprocta,2,39.0,7
Aproctella,10,13.0,0
Aproctiana,0,4.0,0
Aproctoides,0,3.0,0
Aproctonema,0,3.0,3
Aprutides,1,2.0,2
Aquaemermis,0,3.0,4
Aquatides,2,16.0,15
Arabanema,0,1.0,1
Arachnomermis,0,4.0,2
Araeolaimida,1,0,0
Araeolaimus,5,34.0,50
Araguanema,0,3.0,1
Aranimermis,0,3.0,3
Arboritynchus,0,1.0,0
Archeonema,0,1.0,1
Archeostrongylus,0,19.0,1
Archepsilonema,0,8.0,8
Arctidorylaimus,0,4.0,5
Arctiplectus,0,1.0,1
Arenasoma,0,1.0,1
Arganema,0,1.0,1
Arnfieldia,0,1.0,0
Aronema,0,2.0,1
Arthrocephalus,0,1.0,1
Arthrostoma,2,5.0,1
Artigasia,0,34.0,39
Arundelia,1,1.0,0
Asakawanema,0,1.0,1
Ascaridia,8,37.0,0
Ascarididae,2,0,0
Ascaridiidae,1,0,0
Ascaridoidea,6,0,0
Ascaridomorpha,2,0,0
Ascaris,76,153.0,50
Ascarites,0,3.0,1
Ascarophis,4,47.0,50
Ascarops,1,9.0,1
Ascaroterakis,0,1.0,0
Ascolaimus,4,3.0,3
Ashworthius,1,9.0,2
Asperotobrilus,0,3.0,5
Aspiculuris,11,12.0,21
Aspidodera,13,9.0,0
Aspidonema,0,7.0,6
Astomonema,1,5.0,5
Asymmelaimus,1,0,1
Asymmetracantha,0,1.0,0
Asymmetrella,0,1.0,1
Asynmelaimus,0,2.0,0
Atalodera,11,13.0,0
Ataronema,0,1.0,1
Atetylenchus,6,6.0,9
Athernema,0,1.0,1
Athusia,0,2.0,0
Atlantadorus,0,1.0,0
Atractis,1,17.0,12
Atrochromadora,6,5.0,5
Atylenchus,0,1.0,1
Auanema,15,0.0,9
Auchenacantha,0,2.0,3
Aulacnema,0,1.0,1
Aulolaimoides,0,6.0,6
Aulolaimus,2,26.0,25
Aulonocephalus,1,1.0,0
Aulosphora,0,11.0,10
Australodorus,0,1.0,1
Austraplectana,0,1.0,2
Austromermis,0,1.0,1
Austronema,0,1.0,1
Austrostrongylus,3,13.0,0
Austroxyuris,0,1.0,1
Authority,0,0.0,0
Avellaria,0,2.0,0
Aviculariella,0,4.0,0
Avifilaris,0,2.0,0
Avilandras,0,1.0,0
Avioserpens,0,4.0,2
Axonchium,9,39.0,50
Axonchoides,1,1.0,2
Axonolaimidae,22,0,0
Axonolaimus,15,36.0,48
Baikalomermis,0,1.0,9
Bainechina,0,1.0,0
Bairdascaris,0,1.0,0
Bakeria,0,3.0,1
Bakernema,2,2.0,6
Baladorylaimus,0,1.0,1
Baldwinema,3,0.0,3
Bancroftinema,0,1.0,0
Baqriella,0,3.0,2
Barbonema,0,3.0,4
Barracudia,0,4.0,3
Baruscapillaria,4,36.0,18
Basilaphelenchus,11,3.0,8
Basirella,0,1.0,1
Basiria,33,55.0,50
Basirotyleptus,0,44.0,34
Bastiania,4,9.0,9
Bathmostomum,0,1.0,0
Bathychaetosoma,0,1.0,1
Bathyepsilonema,0,26.0,18
Bathyeurystomina,11,4.0,3
Bathylaimella,0,1.0,1
Bathylaimus,33,35.0,43
Bathymermis,0,5.0,21
Bathynox,0,1.0,1
Bathyodontus,2,3.0,3
Batracholandros,2,4.0,5
Batrachonema,0,3.0,0
Batrachostrongylus,0,1.0,0
Baujardia,1,0.0,1
Bauruascaris,0,4.0,2
Baylisascaris,13,14.0,7
Bealius,1,4.0,1
Beaninema,0,0.0,0
Befilaria,0,2.0,0
Belaxellus,0,1.0,1
Belbolla,2,12.0,22
Belgopeltula,0,1.0,1
Bellodera,0,1.0,0
Belondira,6,47.0,48
Belondirella,0,2.0,3
Belondonygolaimellus,0,0.0,0
Belonolaimidae,1,0,0
Belonolaimus,7,5.0,11
Bendiella,1,6.0,3
Benthimermis,0,30.0,30
Berntsenus,0,2.0,0
Bertzuckermania,0,1.0,1
Betulodera,4,1.0,1
Beveridgea,0,5.0,0
Beveridgiella,1,4.0,0
Bhalfilaria,0,1.0,0
Biacantha,0,1.0,0
Biarmifer,0,3.0,5
Bicirronema,1,4.0,3
Bidentostomum,1,1.0,0
Bidigiticauda,1,4.0,1
Biguetius,0,1.0,1
Bilobodera,1,2.0,0
Bilobostoma,1,1.0,1
Binema,5,12.0,15
Bioccastrongylus,0,1.0,0
Biogastranema,0,1.0,0
Bisbalia,0,1.0,0
Bispiculum,0,1.0,1
Bissonema,0,1.0,1
Bitylenchus,10,32.0,44
Blaberinema,0,1.0,1
Blandicephalanema,0,5.0,6
Blanusia,0,0.0,1
Blatticola,1,11.0,11
Blattophila,3,13.0,15
Blazionema,0,1.0,1
Blepharomermis,0,1.0,1
Bodonema,0,1.0,1
Boehmiella,0,2.0,0
Bolbellia,0,6.0,1
Bolbinium,0,1.0,1
Bolbolaimus,1,16.0,22
Bolbonema,2,11.0,7
Boleodorus,12,27.0,36
Bongersia,0,1.0,1
Boomerangia,0,2.0,2
Boraceianema,0,1.0,1
Borania,0,1.0,0
Boreolaimus,0,7.0,8
Boreomicrolaimoides,0,1.0,1
Borrellostrongylus,0,1.0,1
Bostrichodera,0,1.0,0
Boucherius,0,1.0,2
Bourgelatia,1,1.0,0
Bourgelatioides,0,1.0,0
Bovienema,0,5.0,4
Boydinema,0,1.0,0
Brachonchulus,0,1.0,2
Brachyclonus,0,1.0,0
Brachydorus,0,3.0,3
Bradybucca,0,1.0,2
Bradylaimus,1,1.0,2
Bradynema,3,8.0,8
Bradypostrongylus,0,2.0,0
Brasilaimus,0,7.0,18
Brasilnema,0,1.0,2
Breinlia,13,22.0,1
Brevibucca,3,3.0,4
Brevibuccidae,1,0,0
Brevigraphidium,0,1.0,0
Brevinema,0,1.0,0
Brevistriata,0,5.0,3
Brevithominx,0,0.0,0
Brevitobrilus,2,0,13
Brittonema,0,3.0,6
Bronchonema,0,1.0,0
Brugia,25,10.0,0
Brumptaemilius,20,13.0,14
Brygoonema,0,10.0,0
Buccolaimus,0,1.0,1
Buckleyatractis,0,1.0,1
Buckleyella,1,4.0,2
Buckleynema,0,7.0,4
Buetschlinema,1,5.0,6
Bufonerakis,0,2.0,1
Bullaenema,0,1.0,1
Bunomystrongylus,0,4.0,1
Bunonema,35,19.0,27
Bunostomum,5,8.0,2
Burmanema,0,1.0,0
Bursadera,0,1.0,1
Bursaphelenchus,154,174.0,50
Bursilla,0,8.0,9
Butlerius,5,17.0,18
Buzionema,2,1.0,1
Caballeronema,0,2.0,2
Caballonema,0,1.0,0
Cacolaimus,0,1.0,1
Cacopaurus,1,1.0,2
Cactodera,27,20.0,18
Caenorhabditis,89,56.0,50
Caenostrongylus,0,1.0,0
Cagourakis,0,1.0,0
Calcaridorylaimus,5,10.0,11
Californidorus,2,4.0,4
Caligocanna,0,1.0,2
Calligyrus,0,2.0,2
Callistoura,0,1.0,1
Calodium,2,0,7
Calolaimus,0,8.0,7
Calomicrolaimus,11,1.0,15
Caloosia,1,11.0,19
Calvigula,0,1.0,0
Calypsostrongylus,0,3.0,2
Calyptronema,9,19.0,21
Camacolaimidae,1,0,0
Camacolaimus,19,0,50
Camallanidae,1,0,0
Camallanides,0,13.0,0
Camallanus,14,124.0,50
Camelodera,0,1.0,0
Camelostrongylus,1,20.0,5
Cameronecator,0,1.0,0
Cameronia,3,14.0,2
Campanarougetia,0,2.0,0
Campbellenchus,0,2.0,2
Camponotimermis,0,0.0,2
Campydora,1,1.0,2
Campydoroides,0,1.0,1
Campylaimus,6,29.0,25
Capillaria,88,168.0,8
Capillariidae,1,0,0
Capillariinae,1,0,0
Capillospirura,2,0,3
Capillostrongyloides,0,9.0,10
Capilonchus,0,2.0,2
Capitomermis,0,7.0,9
Caprionchulus,0,1.0,1
Captivonema,0,2.0,1
Caputonchus,0,1.0,1
Carabonema,0,1.0,1
Caranginema,1,0,1
Carcharodiscus,1,0,9
Carcharolaimus,2,11.0,25
Cardianema,0,1.0,0
Cardiofilaria,1,9.0,1
Cardiostrongylus,0,1.0,0
Caribenema,0,5.0,5
Caribplectus,0,1.0,2
Carinoscapter,0,1.0,1
Carlosia,0,1.0,1
Carnoya,4,30.0,29
Carnoychaeta,0,1.0,1
Carnoyidae,1,0,0
Carolinensis,3,7.0,1
Caroloxyuris,0,1.0,1
Carostrongylus,0,1.0,0
Carphodorus,1,1.0,1
Caryboca,0,4.0,4
Cascofilaria,0,6.0,3
Cassunema,1,1.0,0
Castorstrongylus,0,1.0,0
Catanema,8,4.0,8
Catoralaimellus,0,1.0,1
Cattiena,2,2.0,2
Caveonchus,0,5.0,4
Caviputa,0,10.0,10
Cenolaimus,0,2.0,2
Cephalanticoma,3,1.0,4
Cephalenchus,25,20.0,24
Cephalobellus,4,34.0,36
Cephalobidae,23,0,0
Cephalobium,0,13.0,13
Cephaloboides,7,25.0,13
Cephalobus,35,30.0,50
Cephalochaetosoma,0,1.0,2
Cephalodorylaimus,0,2.0,2
Cephaluris,5,7.0,7
Ceramonema,7,21.0,34
Ceramonematidae,2,0,0
Ceratomermis,0,1.0,1
Ceratoplectus,6,6.0,8
Ceratosolenus,0,2.0,2
Ceratospira,0,4.0,0
Cercogylus,0,1.0,0
Cercopithifilaria,17,25.0,2
Cervidellus,18,16.0,37
Cervoannulatus,0,1.0,1
Cervonema,4,20.0,20
Cervonemella,0,1.0,0
Chabaudechina,0,2.0,0
Chabaudiella,0,1.0,0
Chabaudistrongylus,0,3.0,2
Chabaudstrongylus,1,2.0,0
Chabertia,2,7.0,2
Chabertiella,0,1.0,0
Chabfilaria,0,2.0,0
Chabirenia,0,0.0,0
Chaetonema,5,6.0,10
Chalcidonema,0,1.0,1
Chambersiella,0,1.0,3
Chandlerella,3,25.0,5
Chandleronema,0,1.0,0
Chapiniella,0,4.0,1
Cheilobus,0,1.0,6
Cheilonematodum,0,1.0,0
Cheilospirura,1,12.0,2
Cheironchus,3,8.0,10
Cheiropteronema,0,1.0,0
Cheloniheterakis,0,1.0,0
Cherylia,0,1.0,0
Chevreuxia,1,5.0,2
Chilenchus,0,1.0,1
Chilonema,0,1.0,1
Chiloplacoides,0,1.0,1
Chiloplacus,12,33.0,50
Chiloplectus,1,0,8
Chiropterofilaria,0,1.0,0
Chisholmia,0,4.0,2
Chitinotylenchus,0,5.0,2
Chitwoodchabaudia,0,1.0,0
Chitwoodia,0,2.0,5
Chitwoodiella,1,8.0,6
Chitwoodiellus,0,5.0,6
Chitwoodieloides,0,3.0,3
Chitwoodius,1,15.0,16
Chitwoodspirura,0,1.0,0
Chlamydoprocta,0,1.0,0
Chloronemella,0,1.0,1
Choanolaimus,4,1.0,1
Chondronema,0,1.0,0
