Reference,Species,Confirmation,n,type,LGT (mm),a,b,b',c,c',V,T,STY μm,spicules,gubernaculum,DHV,STA,m,DGO,BBE,OVI,OGO,EXPO,DVU,ANW,LFW,TAIL,DAN,ANT,FRW,ANP,PRO,HAB,ANL,LIP,INC,TSH,KBS,APR,Tipann,Vann,ARO
"PRATYLENCHUS (NEMATODA: PRATYLENCHIDAE): DIAGNOSIS BIOLOGY, PATHOGENICITY AND MANAGEMENT, Pablo Castillo and Nicola Vovlas 2007","Pratylenchus alleni Ferris, 1961","Ferris, 1961",10,males,0.37,26.0,5.3,,20.0,,,45.0,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PRATYLENCHUS (NEMATODA: PRATYLENCHIDAE): DIAGNOSIS BIOLOGY, PATHOGENICITY AND MANAGEMENT, Pablo Castillo and Nicola Vovlas 2007","Pratylenchus alleni Ferris, 1961","Ferris, 1961",10,males,0.36,24.0,5.8,,21.0,2.1,80.0,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PRATYLENCHUS (NEMATODA: PRATYLENCHIDAE): DIAGNOSIS BIOLOGY, PATHOGENICITY AND MANAGEMENT, Pablo Castillo and Nicola Vovlas 2007","Pratylenchus alleni Ferris, 1961","Ryss, 1988",6,females,0.36,28.0,5.5,,21.0,2.3,,,13.5,14.5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PRATYLENCHUS (NEMATODA: PRATYLENCHIDAE): DIAGNOSIS BIOLOGY, PATHOGENICITY AND MANAGEMENT, Pablo Castillo and Nicola Vovlas 2007","Pratylenchus andinus Lordello, Zamith & Boock, 1961","Lordello et al., 1961",15,females,0.55,21.8,7.2,,27.7,,83.0,,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PRATYLENCHUS (NEMATODA: PRATYLENCHIDAE): DIAGNOSIS BIOLOGY, PATHOGENICITY AND MANAGEMENT, Pablo Castillo and Nicola Vovlas 2007","Pratylenchus andinus Lordello, Zamith & Boock, 1961","Loof, 1978",5,females,0.63,28.5,5.7,4.2,27.5,,83.5,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PRATYLENCHUS (NEMATODA: PRATYLENCHIDAE): DIAGNOSIS BIOLOGY, PATHOGENICITY AND MANAGEMENT, Pablo Castillo and Nicola Vovlas 2007","Pratylenchus angulatus Siddiqi, 1994","Siddiqi, 1994",,Female holotype,0.35,30.0,5.3,3.2,16.6,2.9,82.0,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PRATYLENCHUS (NEMATODA: PRATYLENCHIDAE): DIAGNOSIS BIOLOGY, PATHOGENICITY AND MANAGEMENT, Pablo Castillo and Nicola Vovlas 2007","Pratylenchus angulatus Siddiqi, 1994","Siddiqi, 1994",6,females,0.36,30.0,5.5,2.9,18.0,2.8,82.0,,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PRATYLENCHUS (NEMATODA: PRATYLENCHIDAE): DIAGNOSIS BIOLOGY, PATHOGENICITY AND MANAGEMENT, Pablo Castillo and Nicola Vovlas 2007","Pratylenchus arlingtoni Handoo, Carta & Skantar, 2001","Handoo et al., 2001",,Female holotype,0.42,24.8,4.0,,20.6,2.0,81.5,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PRATYLENCHUS (NEMATODA: PRATYLENCHIDAE): DIAGNOSIS BIOLOGY, PATHOGENICITY AND MANAGEMENT, Pablo Castillo and Nicola Vovlas 2007","Pratylenchus arlingtoni Handoo, Carta & Skantar, 2001","Handoo et al., 2001",20,females,0.46,27.0,4.4,,22.0,,82.0,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PRATYLENCHUS (NEMATODA: PRATYLENCHIDAE): DIAGNOSIS BIOLOGY, PATHOGENICITY AND MANAGEMENT, Pablo Castillo and Nicola Vovlas 2007","Pratylenchus bhattii Siddiqi, Dabur & Bajaj, 1991","Siddiqi et al., 1991",,Female holotype,0.49,29.0,5.3,4.2,19.3,,73.0,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
