Genus,Species Count
Tubixaba,37
Aporcelaimellus,76
Aporcelinus,41
Makatinus,10
Gopalus,1
Paraxonchium,15
Tendinema,2
Sectonema,40
Aporcelaimoides,14
Chrysonema,10
Crateronema,2
Belaxellus,1
Discolaimium,36
Discolaimoides,16
Discolaimus,42
Filidicolaimus,2
Latocephalus,9
Mylodiscus,1
Hulqus,3
Mitoaxonchium,1
Lordellonema,17
Moshajia,4
Poronemella,6
Sicorinema,7
Allodorylaimus,27
Baqriella,3
Boreolaimus,7
Crassogula,1
Crassolabium,5
Cricodorylaimus,1
Ecumenicus,4
Epidorylaimus,14
Eudorylaimus,107
Kallidorylaimus,1
Kolodorylaimus,1
Labronema,54
Labronemella,12
Microdorylaimus,17
Pachydorylaimus,7
Parapalus,1
Qudsianema,1
Scalpelus,1
Skibbinema,1
Talanema,7
Torumanawa,2
Tylenchodorus,1
Loofilaimus,1
Nygolaimoides,9
Sphaeroamphis,1
Thorneella,2
Thornia,11
Thorniosa,1
Actinolaimoides,8
Malekus,2
Oonaguntus,2
Oriverutoides,1
Oriverutus,8
Paroriverutus,5
Acephalodorylaimus,1
Cephalodorylaimus,2
Echinodorus,1
Helmabia,6
Nemabia,1
Acunemella,1
Dorydorella,4
Longidorella,30
Thornedia,3
Californidorus,4
Enchodeloides,1
Enchodelus,37
Enchodorus,4
Heterodorus,4
Kochinema,8
Lanzavecchia,3
Lenonchium,9
Papuadorus,3
Pungentus,22
Rhyssocolpus,2
Actinolaimus,10
Andrassy,,8
Afractinca,5
Brasilaimus,7
Brittonema,3
Practinocephalus,1
Parastomachoglossa,3
Egtitis,20
Metactinolaimus,2
Neoactinolaimus,25
Scleroactinolaimus,1
Afractinolaimus,5
Dominicactinolaimus,1
Paractinolaimus,30
Trachactinolaimus,3
Westindicus,6
Trachypleurosum,5
Antholaimus,8
Carcharolaimus,11
Caryboca,4
Mylodiscoides,1
Stopractinca,6
Caribenema,5
Longidoroides,18
Longidorus,183
Australodorus,1
Paralongidorus,34
Paraxiphidorus,3
Siddiqia,28
Xiphidorus,9
Xiphinema,280
Amphibelondira,5
Anchobelondira,1
Axonchium,39
Axonchoides,1
Belondira,47
Belondirella,2
Dactyluraxonchium,2
Duriella,1
Heynsaxonchium,1
Immanigula,1
Laurophragus,1
Metaxonchium,1
Nimigula,1
Belondonygolaimellus,0
Paraoxybelondira,1
Phallaxonchium,5
Syncheilaxonchium,5
Dorylaimellus,85
Falcihasta,4
Linseyus,4
Oxybelondira,4
Oxydirus,15
Paraoxydirus,6
Qudsiella,1
Roqueus,3
Swangeria,2
Athernema,1
Paraqudsiella,1
Basirotyleptus,44
Glochidorella,5
Punctolepis,1
Sclerostylus,2
Zetalaimus,3
Encholaimus,2
Apoleptonchus,1
Arganema,1
Bertzuckermania,1
Funaria,12
Incanema,1
Leptonchus,12
Meylis,3
Paraleptonchus,1
Proleptonchus,28
Proleptonchoides,3
Agmodorus,5
Dorella,4
Doryllium,16
Gerthus,4
Goferus,1
Margollus,4
Oostenbrinkella,3
Paratylencholaimus,1
Phellonema,1
Tylencholaimellus,42
Caveonchus,5
Gymnotyleptus,2
Tyleptus,9
Mumtazium,1
Promumtazium,2
Capilonchus,2
Chitwoodieloides,3
Chitwoodiellus,5
Chitwoodius,15
Copalonema,1
Calvigula,1
Discomyctus,10
Lawtonema,1
Meylonema,3
Rostrulium,3
Sclerolaimus,1
Tantunema,7
Tsukubanema,1
Tylenchodoroides,1
Tylencholaimus,58
Utahnema,3
Wasimellus,1
Curvidorylaimus,1
Metadorylaimus,1
Neometadorylaimus,1
Vanderlindia,3
Kantbhala,5
Loncharionema,2
Xiphinemella,15
Zalophidera,3
Adenolaimus,6
Aulolaimoides,6
Cladocephalus,1
Oostenbrinkia,2
Calolaimus,8
Miranema,2
Timmus,1
Dorylaimoides,80
Morasia,6
Mydonomus,4
Scalpenchus,1
Bullaenema,1
Durinema,2
Helicobelondira,1
Porternema,1
Oxydiroides,4
