ImageName,Gender,General,Descr,Detail,KeyArea,Magnification,Location,Host,Species,ScientificName_accepted,ScientificName,Class,Order,Family,Genus
https://nematode.unl.edu/achrspk14.jpg,juvenile,,,cuticle,,1000X,"Konza Prairie, Kansas",Big bluestem/|_ittle bluestem,Achromadora,,,,,,
https://nematode.unl.edu/achrspk15.jpg,female,,,head,Anterior,400X,"Konza Prairie, Kansas",Big bluestem/|_ittle bluestem,Achromadora,,,,,,
https://nematode.unl.edu/achrspk16.jpg,female,,,tail,,400X,"Konza Prairie, Kansas",Big bluestem/|_ittle bluestem,Achromadora,,,,,,
https://nematode.unl.edu/achrspk17.jpg,female,,,vulva,,400X,"Konza Prairie, Kansas",Big bluestem/|_ittle bluestem,Achromadora,,,,,,
https://nematode.unl.edu/achrspk18.jpg,female,,,vulva,,400X,"Konza Prairie, Kansas",Bluesgrass,Achromadora,,,,,,
https://nematode.unl.edu/achrspk19.jpg,female,,,tail,,400X,"Konza Prairie, Kansas",Big bluestem,Achromadora,,,,,,
https://nematode.unl.edu/achrspk2.jpg,female,,,head,Anterior,400X,"Konza Prairie, Kansas",,Achromadora,,,,,,
https://nematode.unl.edu/achrspk20.jpg,female,,,vulva,,400X,"Konza Prairie, Kansas",,Achromadora,,,,,,
https://nematode.unl.edu/achrspk21.jpg,female,,,amphid,Anterior,400X,"Konza Prairie, Kansas",,Achromadora,,,,,,
https://nematode.unl.edu/achrspk3.jpg,female,,,tail,,400X,"Konza Prairie, Kansas",,Achromadora,,,,,,
https://nematode.unl.edu/achrspk4.jpg,female,,,vulva,,400X,"Konza Prairie, Kansas",,Achromadora,,,,,,
https://nematode.unl.edu/achrspk5.jpg,juvenile,,,body,,100X,"Konza Prairie, Kansas",,Achromadora,,,,,,
https://nematode.unl.edu/achrspk6.jpg,juvenile,,,head,Anterior,400X,"Konza Prairie, Kansas",,Achromadora,,,,,,
https://nematode.unl.edu/achrspk7.jpg,juvenile,,,tail tip,,400X,"Konza Prairie, Kansas",Big bluestem,Achromadora,,,,,,
https://nematode.unl.edu/achrspk8.jpg,juvenile,,,head,Anterior,1000X,"Konza Prairie, Kansas",,Achromadora,,,,,,
https://nematode.unl.edu/achrspk9.jpg,juvenile,,,amphid,Anterior,1000X,"Konza Prairie, Kansas",,Achromadora,,,,,,
https://nematode.unl.edu/paracy1.jpg,juvenile,,,head,Anterior,400X,"Konza Prairie, Kansas",Caucasian bluestem,Paracyatholaimus,,,,,,
https://nematode.unl.edu/paracy2.jpg,,,,tail,,400X,"Konza Prairie, Kansas",Caucasian bluestem,Paracyatholaimus,,,,,,
https://nematode.unl.edu/paracy3.jpg,juvenile,,,head,Anterior,1000X,"Konza Prairie, Kansas",Caucasian bluestem,Paracyatholaimus,,,,,,
https://nematode.unl.edu/ethmos1.jpg,male,,,head,Anterior,,,,Epidorylaimus lugdunensis,,,,,,
https://nematode.unl.edu/ethmos2.jpg,male,,,anterior,,400X,,,Epidorylaimus lugdunensis,,,,,,
https://nematode.unl.edu/ethmos3.jpg,male,,,body,,100X,"Pemaquid Beach,  Maine",tide pool,Epidorylaimus lugdunensis,,,,,,
https://nematode.unl.edu/ethmos4.jpg,male,,,anterior,,200X,,,Epidorylaimus lugdunensis,,,,,,
https://nematode.unl.edu/ethmos5.jpg,male,,,tail,,,,,Epidorylaimus lugdunensis,,,,,,
https://nematode.unl.edu/ethmos6.jpg,male,,,tail,,,,,Epidorylaimus lugdunensis,,,,,,
https://nematode.unl.edu/desmohd.jpg,juvenile,,,head,Anterior,400X,"Nine Mile Prairie, Lancaster County, Nebraska",Leadplant,Desmolaimus,,,,,,
https://nematode.unl.edu/dimell1.jpg,juvenile,,,head,Anterior,1000X,"Konza Prairie, Kansas",Big bluestem,Diplolaimella,,,,,,
https://nematode.unl.edu/dimell2.jpg,juvenile,,,amphid,Anterior,1000X,"Konza Prairie, Kansas",Big bluestem,Diplolaimella,,,,,,
https://nematode.unl.edu/dimell3.jpg,juvenile,,,head,Anterior,1000X,"Konza Prairie, Kansas",Big bluestem,Diplolaimella,,,,,,
https://nematode.unl.edu/dimell4.jpg,juvenile,,,basal esophagus,,1000X,"Konza Prairie, Kansas",Big bluestem,Diplolaimella,,,,,,
https://nematode.unl.edu/dimell5.jpg,juvenile,,,bacteria,,1000X,"Konza Prairie, Kansas",Big bluestem,Diplolaimella,,,,,,
https://nematode.unl.edu/diploma.jpg,juvenile,,,amphid,Anterior,1000X,"Nine Mile Prairie, Lancaster County, Nebraska",Leadplant,Diplolaimella,,,,,,
https://nematode.unl.edu/diplomh.jpg,juvenile,,,lip region,,1000X,"Nine Mile Prairie, Lancaster County, Nebraska",Leadplant,Diplolaimella,,,,,,
https://nematode.unl.edu/diploms.jpg,juvenile,,,head,Anterior,400X,"Nine Mile Prairie, Lancaster County, Nebraska",Leadplant,Diplolaimella,,,,,,
https://nematode.unl.edu/diploid1.jpg,female,,,head,Anterior,400X,"Konza Prairie, Kansas","Little bluestem,Seribner's panicum",Diplolaimelloides,,,,,,
https://nematode.unl.edu/diploid10.jpg,juvenile,,,head,Anterior,1000X,"Konza Prairie, Kansas","Little bluestem,Seribner's panicum",Diplolaimelloides,,,,,,
https://nematode.unl.edu/diploid2.jpg,female,,,tail,,400X,"Konza Prairie, Kansas","Little bluestem,Seribner's panicum",Diplolaimelloides,,,,,,
