Genus,NCBI Species Count,TAXA Species Count,WoRMS Species Count,GenBank Sequence Count
Demaniella,4,6.0,8,0
Demonema,1,1.0,1,3
Dentatonema,0,1.0,1,0
Denticulella,1,4.0,5,0
Denticulospirura,0,1.0,0,0
Dentinema,0,1.0,0,0
Dentiphilometra,2,3.0,3,0
Dentirumai,0,1.0,1,0
Dentolaimoides,0,1.0,0,0
Dentomermis,0,1.0,1,0
Dentostomella,1,6.0,6,0
Deontolaimus,7,7.0,29,0
Deontostoma,8,16.0,26,36
Dermatopallarya,0,1.0,1,0
Dermatoxys,0,9.0,12,0
Desmicola,3,9.0,9,0
Desmidocerca,0,1.0,2,0
Desmidocercella,1,4.0,3,0
Desmodora,24,78.0,50,0
Desmodorella,5,14.0,16,0
Desmodorida,1,0,0,0
Desmodoridae,30,0,0,0
Desmognathinema,0,3.0,0,0
Desmolaimoides,0,1.0,1,0
Desmolaimus,11,18.0,23,0
Desmolorenzenia,0,13.0,13,0
Desmoscolecidae,94,0,0,0
Desmoscolex,14,99.0,50,2
Desmotimmia,0,1.0,1,0
Desmotricoma,0,1.0,1,0
Desportesius,1,10.0,15,0
Dessetfilaria,0,2.0,0,0
Dessetia,0,1.0,1,0
Dessetostrongylus,0,3.0,0,0
Devibursaphelenchus,11,8.0,4,0
Diaphanocephalus,1,1.0,0,0
Diastolaimus,3,2.0,5,4
Dicelis,7,18.0,1,8
Diceloides,0,1.0,0,0
Dicerocola,0,1.0,0,0
Diceronema,0,1.0,1,0
Dicheilonema,0,10.0,2,0
Dichelyne,11,63.0,35,22
Dichromadora,38,2.0,41,0
Dictyocaulus,28,16.0,11,38
Didelphonema,0,1.0,0,0
Didelphostrongylus,1,1.0,0,0
Didelphoxyuris,0,1.0,1,0
Didelphyoptera,0,1.0,0,0
Didelphysoma,0,1.0,0,0
Didelta,0,5.0,7,0
Didilia,0,1.0,1,0
Digitiphilometroides,1,1.0,1,0
Dinetia,0,2.0,4,0
Dintheria,1,1.0,1,0
Dioctophyme,2,1.0,1,0
Dioctowittus,0,4.0,0,0
Diodontolaimus,0,3.0,4,0
Diomedenema,2,3.0,3,0
Dipetalonema,21,38.0,3,0
Diphterophora,2,0,41,0
Diphtherophora,19,37.0,41,0
Diplobathylaimus,0,1.0,1,0
Diplogaster,4,7.0,50,0
Diplogasteriana,2,1.0,3,0
Diplogasterid,1,0,0,0
Diplogasteridae,16,0,0,0
Diplogasteritus,1,3.0,30,0
Diplogasteroides,19,37.0,47,0
Diplogasteromorpha,2,0,0,0
Diplogastrellus,7,2.0,20,0
Diplogastridae,12,0,0,0
Diplolaimella,15,11.0,16,0
Diplolaimelloides,7,11.0,14,0
Diplonema,0,1.0,1,0
Diplopeltidae,3,0,0,0
Diplopeltis,2,6.0,17,0
Diplopeltoides,5,23.0,22,0
Diplopeltoididae,1,0,0,0
Diplopeltula,1,6.0,36,0
Diploscapter,18,14.0,18,0
Diploscapteroides,1,7.0,8,0
Diplotriaena,3,65.0,16,0
Diptenchus,0,1.0,1,0
Dipteromermis,0,1.0,1,0
Dirofilaria,23,47.0,4,0
Dirofilariaeformia,0,1.0,0,0
Dirofilarionema,0,1.0,0,0
Discocriconemella,5,31.0,40,0
Discoditis,0,2.0,2,0
Discolaimium,2,36.0,50,0
Discolaimoides,3,16.0,19,0
Discolaimus,13,42.0,50,0
Discomermis,0,1.0,1,0
Discomyctus,0,10.0,10,0
Disconema,0,8.0,9,0
Discopersicus,2,0.0,1,4
Discotylenchus,5,10.0,9,3
Dispharynx,2,0,5,0
Dispira,0,1.0,1,0
Distolabrellus,3,3.0,7,0
Ditlevsenella,0,4.0,5,0
Ditremamermis,0,2.0,2,0
Ditylenchus,121,89.0,50,54
Divisispiculimermis,0,1.0,0,0
Diximermis,0,1.0,2,0
Doanhnema,0,0.0,5,0
Dogielophis,0,1.0,0,0
Dolichodera,1,1.0,1,0
Dolichodorus,6,20.0,26,4
Dolicholaimus,2,10.0,17,0
Dolichorhabditis,0,10.0,6,0
Dolichosomatum,0,1.0,1,0
Doliolaimus,0,1.0,1,0
Dollfusnema,0,2.0,1,0
Dollfusstrongylus,0,1.0,0,0
Dominicactinolaimus,0,1.0,0,0
Domorganus,1,10.0,10,0
Donsinema,0,1.0,1,0
Donsinemella,0,1.0,1,0
Dorcopsinema,0,10.0,2,0
Dorcopsistrongylus,0,3.0,1,0
Dorella,0,4.0,1,0
Doronchus,0,2.0,2,0
Dorydorella,2,4.0,3,2
Dorylaimellus,5,85.0,50,0
Dorylaimida,12,0,0,0
Dorylaimidae,4,0,0,0
Dorylaimina,2,0,0,0
Dorylaimoidea,7,0,0,0
Dorylaimoides,7,80.0,50,0
Dorylaimopsis,10,33.0,34,3
Dorylaimus,11,28.0,50,2
Doryllium,1,16.0,19,0
Doryonchus,0,1.0,0,0
Dracogalerus,0,3.0,4,0
Dracognomus,1,7.0,8,0
Dracograllus,6,21.0,32,4
Draconactus,0,2.0,2,0
Draconema,4,22.0,40,2
Draconematidae,41,0,0,1
Dracotoronema,0,1.0,0,0
Dracunculus,12,11.0,3,0
Draschia,0,1.0,1,0
Drasico,2,4.0,2,4
Drepanodorylaimus,1,18.0,22,0
Drilocephalobus,1,7.0,11,0
Drilomermis,0,1.0,1,0
Drilonema,0,1.0,0,0
Dromaeostrongylus,1,1.0,0,0
Dujardinascaris,3,32.0,20,0
Dukerostrongylus,0,1.0,0,0
Dunnifilaria,0,3.0,0,0
Duosulcius,0,2.0,2,0
Duplicaecum,0,1.0,0,0
Durettechina,0,1.0,0,0
Durettenema,2,4.0,2,0
Durettestrongylus,0,4.0,0,0
Duriella,0,1.0,1,0
Durikainema,0,2.0,2,0
Durinema,0,2.0,2,0
Echinocephalus,11,17.0,29,0
Echinocoleus,0,5.0,3,0
Echinodesmodora,0,3.0,3,0
Echinodorus,0,1.0,2,0
Echinomermella,1,2.0,2,0
Echinotheristus,0,2.0,2,0
Echinuria,1,12.0,12,0
Echinurioides,0,1.0,0,0
Echonema,0,1.0,0,0
Ecphyadophora,15,8.0,11,0
Ecphyadophoroides,0,2.0,9,0
Ecuadorus,0,1.0,1,0
Ecumenicus,16,4.0,4,0
Edesonfilaria,0,2.0,0,0
Egtitis,0,20.0,32,0
Ekphymatodera,1,1.0,0,0
Ektaphelenchidae,1,0,0,0
Ektaphelenchoides,21,21.0,14,10
Ektaphelenchus,19,35.0,20,1
Elaeolenchus,0,1.0,0,0
Elaeophora,2,4.0,2,0
Elaphonema,0,6.0,6,0
Elaphostrongylus,3,5.0,3,0
Eleutherolaimus,6,27.0,29,0
Elzalia,1,13.0,13,0
Enchelidiella,0,1.0,1,0
Enchelidiidae,11,0,0,0
Enchelidium,0,8.0,16,0
Enchodeloides,1,1.0,1,0
Enchodelus,15,37.0,50,23
Enchodorus,2,4.0,3,0
Encholaimus,0,2.0,2,0
Endeolophos,3,5.0,5,0
Enoplea,2,0,0,0
Enoplida,4,0,0,0
Enoplochilus,0,1.0,1,0
Enoploides,98,8.0,48,0
Enoplolaimus,30,42.0,50,0
Enoplus,16,51.0,50,0
Entaphelenchus,0,6.0,6,0
Enterobiinae,3,0,0,0
Enterobius,7,27.0,23,0
Entomelas,6,9.0,5,0
Eomermis,0,1.0,0,0
Eophasma,0,2.0,1,0
Epacanthion,11,33.0,34,0
Epacrolaimus,1,2.0,3,47
Epicharinema,0,1.0,1,0
Epidorylaimus,9,14.0,17,0
Epimenides,0,1.0,1,0
Epitobrilus,2,25.0,21,0
Epomidiostomum,0,15.0,6,0
Epsilonema,6,115.0,27,2
Epsilonematidae,90,0,0,0
Equilophos,0,4.0,2,0
Equinurbia,0,1.0,0,0
Ereptonema,1,5.0,8,0
Esocinema,1,1.0,1,0
Etamphidelus,0,10.0,17,0
Ethmodora,0,1.0,0,0
Ethmolaimidae,1,0,0,0
Ethmolaimus,1,17.0,22,0
Eubostrichus,7,12.0,16,0
Eucephalobus,29,11.0,34,8
Euchromadora,12,26.0,48,0
Euchromanema,0,2.0,2,0
Eucoleus,21,34.0,25,0
Eucyathostomum,0,6.0,0,0
Eudorylaimus,32,107.0,50,0
Eudromoxyura,0,1.0,2,0
Eudronema,0,1.0,1,0
Eufilaria,3,17.0,4,0
Eulimdana,1,0,12,0
Eumermis,0,2.0,4,0
Eumonhystera,11,36.0,50,0
Euryconema,0,2.0,2,0
Eurymermis,0,8.0,34,0
Eurystomina,8,47.0,50,0
Eustrongylides,120,17.0,8,0
Eusynonchus,0,2.0,2,0
Euteratocephalus,4,6.0,8,0
Eutobrilus,3,40.0,41,0
Eutylenchus,2,6.0,7,0
Euzetoda,0,1.0,0,0
Evaginuris,0,1.0,1,0
Excisa,0,5.0,1,0
Expressonema,0,1.0,1,0
Ezonema,0,2.0,0,0
Falcaustra,11,71.0,50,10
Falcihasta,0,4.0,4,0
Fastigiuris,0,1.0,1,0
Fellicola,0,1.0,1,0
Fenestrolaimus,0,4.0,5,0
Fergusobia,140,49.0,32,35
Feroxides,0,1.0,1,0
Fescia,0,1.0,1,1
Ficophagus,27,0.0,23,0
Ficotylus,2,2.0,1,0
Fictor,6,20.0,48,0
Filaria,10,44.0,50,0
Filarinema,2,13.0,1,0
Filarioid,1,0,0,0
Filarioidea,19,0,0,0
Filariopsis,1,4.0,1,0
Filarissima,0,1.0,0,0
Filaroides,1,13.0,6,0
Filenchus,58,63.0,50,10
Filicapitis,0,1.0,0,0
Filidicolaimus,0,2.0,0,0
Filipjeva,0,7.0,7,0
Filipjevia,0,1.0,4,0
Filiponema,2,10.0,4,0
Filitonchoides,0,1.0,1,0
Filitonchus,0,3.0,3,0
Filoncholaimus,0,5.0,6,0
Filostrongylus,0,2.0,0,0
Filotermes,0,1.0,1,0
Fissicauda,0,7.0,0,0
Fitzsimmonsnema,0,1.0,1,0
Flagicaudoides,0,1.0,1,0
Flannerystrongylus,0,1.0,1,0
Fleuronema,0,3.0,3,0
Foleyella,2,10.0,1,0
Foleyellides,7,16.0,10,20
Foliostoma,1,1.0,0,0
Fontesia,0,2.0,0,0
Fontonema,0,1.0,1,0
Formicitylenchus,0,1.0,0,0
Formicodiplogaster,0,1.0,1,0
Fotolaimus,1,1.0,3,0
Fraglenchus,0,1.0,1,0
Freitasascaris,0,1.0,0,0
Freitascapillaria,0,1.0,1,0
Freitasia,0,1.0,0,0
Freitastrongylus,0,1.0,0,0
Fuellebornema,0,7.0,0,0
Fukumotonema,0,6.0,3,0
Funaria,5,12.0,18,0
Fungiotonchium,0,4.0,5,0
Furconema,0,1.0,1,0
Fuscheila,0,2.0,2,0
Fuscicorpa,0,1.0,0,0
Fusivermis,0,1.0,1,0
Fusonema,0,1.0,1,0
Gaigeria,0,1.0,0,0
Gairleanema,0,1.0,2,0
Galebia,0,1.0,1,0
Galeiceps,0,4.0,0,0
Galinanema,0,1.0,1,0
Gallegostrongylus,0,4.0,1,0
Galoncus,0,23.0,0,0
Gammanema,10,14.0,17,29
Gammarinema,2,8.0,8,0
Gammaromermis,0,3.0,4,0
Gastromermis,3,82.0,50,0
Gatesnema,0,1.0,0,0
Gazellostrongylus,0,1.0,0,0
Gendrespirura,7,1.0,0,0
Gendria,2,7.0,12,0
Genus,0,0.0,0,0
Geocenamus,11,21.0,50,0
Geomonhystera,16,39.0,30,14
Geopetitia,0,4.0,1,0
Geoscaphenema,0,1.0,1,0
Geraldius,4,1.0,1,3
Gerlachius,0,2.0,2,0
Gerthus,0,4.0,4,0
Gessyella,0,1.0,1,0
Gibsonnema,0,2.0,0,0
Gilsonema,1,2.0,2,0
Glaber,0,3.0,3,0
Glistrongylus,0,1.0,1,0
Globocephaloides,3,3.0,0,0
Globocephalus,3,33.0,2,0
Globodera,56,17.0,21,20
Glochidorella,0,5.0,6,0
Glochinema,0,6.0,8,0
Glomerinema,0,4.0,4,0
Gnathostoma,20,19.0,11,0
Gnomoxyala,0,1.0,1,0
Gobindonema,0,1.0,2,0
Goezia,2,39.0,31,0
Goferus,0,1.0,1,0
Goffartia,0,7.0,7,0
Golovatchinema,0,1.0,1,0
Gomphionchus,0,1.0,0,0
Gomphionema,4,4.0,5,0
Gongylonema,11,38.0,17,0
Gonionchus,2,14.0,14,0
Gonofilaria,0,1.0,0,0
Goodeyella,0,1.0,1,0
Gopalus,0,1.0,1,0
Gopheruris,0,1.0,1,0
Gordiomermis,0,1.0,1,0
Gracilacus,12,0,50,11
Gracilancea,0,1.0,1,0
Grahamius,0,1.0,1,0
Grammocephalus,0,3.0,1,0
Granonchulus,1,4.0,6,0
Granulinema,0,2.0,2,0
Graphidiella,1,3.0,1,0
Graphidioides,1,9.0,0,0
Graphidiops,0,7.0,0,0
Graphidium,1,1.0,1,0
Graphinema,0,1.0,0,0
Graphonema,4,10.0,19,0
Grassenema,1,1.0,1,0
Greeffiella,2,11.0,14,0
Greeffiellopsis,0,1.0,1,0
Gryllophila,1,10.0,12,0
Gubalonus,0,1.0,1,0
Gubernaculimermis,0,1.0,1,0
Gubernaculomeres,0,2.0,0,0
Guerrerostrongylus,2,4.0,1,0
Guitartia,0,1.0,1,0
Gullanema,0,1.0,1,0
Gurltia,2,1.0,0,0
Guyanema,0,5.0,2,0
Gyalocephalus,1,1.0,1,0
Gymnotylenchus,0,3.0,3,0
Gymnotyleptus,0,2.0,2,0
Gynaecometra,0,1.0,1,0
Gynopoecilia,0,1.0,0,0
Gyrinicola,5,5.0,6,52
Habronema,3,26.0,7,0
Hadjelia,1,12.0,1,0
Hadrodenus,1,2.0,2,0
Hadronchoides,0,2.0,2,0
Hadronchulus,0,3.0,3,0
Hadronchus,0,2.0,7,0
Haematozoon,0,2.0,3,0
Haemonchus,32,14.0,2,1
Hakynema,0,1.0,1,0
Halalaimus,86,85.0,50,0
Halanonchus,0,9.0,10,0
Halaphanolaimus,0,6.0,11,0
Halenchus,1,3.0,5,0
Halicephalobus,131,8.0,11,0
Halichoanolaimus,18,36.0,46,13
Halicylindrolaimus,0,1.0,1,0
Halinema,0,4.0,4,0
Haliplectus,15,31.0,33,20
Halocercus,5,14.0,18,0
Halodorylaimus,0,3.0,2,0
Halomonhystera,35,36.0,22,10
Hamatospiculum,0,9.0,4,0
Hammerschmidtiella,6,15.0,15,2
Hapalomus,0,2.0,2,0
Haplacis,0,1.0,1,0
Haplodidentus,0,1.0,0,0
Haplonema,0,7.0,1,0
Haptotricoma,0,3.0,3,0
Haroldakis,0,1.0,0,0
Harpagonchoides,0,1.0,1,0
Harpagonchus,0,2.0,2,0
Hartertia,0,10.0,4,0
Hartwichia,0,1.0,1,0
Hasanuddinia,0,5.0,2,0
Hasegawanema,0,10.0,5,0
Hassalstrongylus,3,19.0,2,0
Hastospiculum,0,8.0,0,0
Hatterianema,0,1.0,0,0
Haycocknema,1,1.0,1,0
Hedruris,4,20.0,25,7
Hekarella,0,1.0,1,0
Heleidomermis,1,4.0,3,0
Helicobelondira,0,1.0,1,0
Heliconema,3,21.0,22,0
Helicotylenchus,110,205.0,50,21
Heligmodentostoma,0,1.0,0,0
Heligmonella,0,4.0,2,0
Heligmonellidae,3,0,0,0
Heligmonina,0,20.0,0,0
Heligmonoides,1,13.0,1,0
Heligmoptera,0,4.0,0,0
Heligmosomoides,15,36.0,12,0
Heligmosomum,2,28.0,13,0
Heligmostrongylus,1,9.0,0,0
Heligmus,0,1.0,1,0
Helionema,0,1.0,0,0
Helmabia,0,6.0,6,0
Helminthoxys,1,9.0,10,0
Hemicaloosia,6,7.0,12,0
Hemicriconemoides,49,56.0,50,20
Hemicycliophora,102,5.0,50,20
Hemiplectus,1,1.0,1,2
Hempelia,0,1.0,0,0
Hepatinema,0,2.0,0,0
Hepatojarakus,0,4.0,0,0
Hepatospina,0,1.0,0,0
Heptochona,0,7.0,5,0
Herpetostrongylus,1,4.0,1,0
Heterakis,13,47.0,26,2
Heterakoidea,1,0,0,0
Heteroanguina,2,0,0,0
Heterocephalobellus,3,3.0,4,0
Heterocephalobus,1,4.0,30,0
Heterocheilus,2,2.0,4,0
Heterodera,175,86.0,50,83
Heteroderidae,5,0,0,0
Heterodorus,5,4.0,32,6
Heterogonema,0,1.0,1,0
Heteromorphotylenchus,0,2.0,0,0
Heteromyoxyuris,0,2.0,2,0
Heteropleuronema,0,1.0,1,0
Heterorhabditis,302,27.0,38,27
Heterospiculum,0,2.0,1,0
Heterostrongylus,1,1.0,0,0
Heterotylenchus,0,3.0,7,0
Heterotyphlum,0,3.0,2,0
Heteroxynema,1,8.0,11,0
Heth,12,50.0,46,0
Hexamermis,8,36.0,50,0
Hexametra,1,12.0,2,0
Hexapapillostomum,0,1.0,0,0
Hexatylus,4,20.0,10,0
Heydenius,0,26.0,9,0
Heynsaxonchium,0,1.0,1,0
Hieminema,0,1.0,1,0
Hilgertia,0,2.0,2,0
Himatidiophila,0,1.0,1,0
Hippopotamenema,0,1.0,1,0
Hirschmanniella,32,33.0,50,20
Histiocephalus,0,4.0,1,0
Histiostrongylus,0,4.0,1,0
Histodytes,0,1.0,1,0
Histotylenchus,1,7.0,7,1
Hoazinstrongylus,0,1.0,0,0
Hoepplius,0,1.0,1,0
Hofmaenneria,0,8.0,12,0
Hoineffia,7,0,0,0
Homungella,1,9.0,2,0
Hoplodontophorus,0,1.0,1,0
Hoplolaimidae,1,0,0,0
Hoplolaimus,19,44.0,27,2
Hoplotylus,2,5.0,8,0
Hopperia,4,20.0,17,0
Hovorkonema,1,3.0,0,0
Howardula,25,25.0,11,10
Hsiungia,0,1.0,0,0
Huffmanela,5,17.0,22,0
Hughjonestrongylus,0,20.0,9,0
Hugotdiplogaster,0,1.0,1,0
Hugotnema,0,5.0,0,0
Hulqus,0,3.0,3,0
Huntia,1,0,1,0
Hyalaimus,0,1.0,1,0
Hydrochoerisnema,0,1.0,0,0
Hydromermis,0,50.0,50,0
Hylonema,0,1.0,0,0
Hyostrongylus,2,7.0,1,0
Hypocristata,0,3.0,0,0
Hypodontolaimus,7,30.0,45,0
Hypodontus,1,3.0,0,0
Hyptiolaimus,0,1.0,1,0
Hysterothylacium,206,122.0,50,20
Hystrichis,1,7.0,6,0
Hystrignathus,3,19.0,28,0
Ibipora,1,5.0,5,0
Ibrahimia,0,1.0,0,0
Ichthyocephaloides,1,5.0,5,0
Ichthyofilaria,0,5.0,6,0
Ichthyostrongylus,0,2.0,0,0
Ichthyouris,0,8.0,7,0
Ichtyobronema,1,0,2,0
Icosiella,2,7.0,1,0
Icthyocephalus,0,15.0,16,0
Idioblaptus,0,1.0,1,0
Idiodorylaimus,0,7.0,7,0
Idiuoxyuris,0,2.0,2,0
Ierestrongylus,0,1.0,0,0
Iheringascaris,11,0,4,0
Illium,0,2.0,2,0
Immanigula,0,1.0,1,0
Imosmermis,0,1.0,0,0
Impalaia,0,4.0,0,0
Imparispiculus,0,1.0,0,0
Incanema,0,1.0,1,0
Incurvinema,0,1.0,1,0
Indiana,0,3.0,7,0
Indocapillaria,0,1.0,1,0
Indocephalobus,0,1.0,1,0
Indoditylenchus,0,1.0,0,0
Indofilaria,0,1.0,0,0
Indorhabditis,0,1.0,0,0
Ingenia,0,1.0,2,0
Inglamidum,0,2.0,0,0
Inglechina,0,2.0,0,0
Ingliseria,1,1.0,1,0
Inglisonema,0,2.0,0,0
Inglisubulura,0,7.0,0,0
Ingwenascaris,0,4.0,2,0
Innocuonema,1,10.0,13,0
Insulanema,1,0,0,0
Intasia,0,7.0,4,0
Ionema,0,5.0,7,0
Iotonchium,4,8.0,6,0
Iotonchulus,1,4.0,5,0
Iotonchus,5,89.0,50,0
Ipatjevimermis,0,1.0,2,0
Iponema,1,12.0,1,0
Irantylenchus,1,1.0,1,0
Ironella,0,3.0,4,0
Ironidae,2,0,0,0
Ironus,15,24.0,33,2
Isacanthonchus,0,1.0,1,0
Ischilinema,0,1.0,1,0
Ischiodorylaimus,0,13.0,14,0
Isobinema,1,4.0,4,0
Isolaimium,4,11.0,13,0
Isomermis,2,11.0,18,0
Isospirura,0,1.0,0,0
Isthmusimermis,0,6.0,7,0
Itaguaiana,0,2.0,2,0
Ivaschkinonema,0,1.0,1,0
Ixonema,1,3.0,3,0
Jaidenema,0,1.0,1,0
Japanema,0,1.0,1,0
Jarryella,0,2.0,2,0
Javellia,0,1.0,0,0
Jensenonchus,2,6.0,7,0
Jibacoa,0,2.0,2,0
Johnpearsonia,0,0.0,0,0
Johnstonia,0,7.0,0,0
Johnstonmawsonia,1,7.0,5,0
Johnstonmawsonoides,0,1.0,0,0
Josefilaria,0,1.0,0,0
Judonchulus,0,3.0,5,0
Justinema,0,3.0,0,0
Kahmannia,0,1.0,1,0
Kalicephalus,5,40.0,6,0
Kallidorylaimus,0,1.0,1,0
Kalmanmolnaria,1,1.0,1,0
Kamegainema,0,1.0,2,0
Kantbhala,0,5.0,5,0
Karkinochromadora,0,1.0,2,0
Kashmira,0,1.0,1,0
Kathlania,0,5.0,4,0
Kentropyxia,1,3.0,3,0
Kenyanema,0,1.0,1,0
Keralanema,0,1.0,1,0
Keratonema,0,1.0,1,0
Khalilia,1,4.0,0,0
Kiluluma,3,15.0,2,0
Kinonchulus,0,1.0,1,0
Kirjanovia,0,1.0,1,0
Kittidorylaimus,0,1.0,1,0
Kiwinema,0,1.0,0,0
Klossiella,0,3.0,3,0
Klossinemella,0,4.0,1,0
Klossnema,1,1.0,1,2
Klugea,0,8.0,12,0
Kochinema,1,8.0,8,2
Koerneria,13,8.0,47,20
Kolodorylaimus,0,1.0,1,0
Kosswigonema,0,1.0,1,0
Krampia,0,3.0,3,0
Kraspedonema,0,1.0,2,0
Krefftascaris,4,1.0,0,0
Kreisiella,0,2.0,0,0
Kreisoncholaimus,0,1.0,1,0
Kreisonema,0,1.0,1,0
Krishnasamyos,0,1.0,1,0
Kuala,0,2.0,0,0
Kunjudorylaimus,1,2.0,2,0
Kuntzistrongylus,0,1.0,0,0
Kurikania,0,2.0,2,0
Kurilonema,1,0,0,7
Kurochkinitylenchus,0,1.0,1,0
Labeonema,1,6.0,2,0
Labiduris,1,1.0,3,0
Labiobulura,0,6.0,1,0
Labiomultiplex,6,0,0,0
Labiosimplex,15,0,0,0
Labiostomum,21,8.0,5,0
Labiostrongylus,4,42.0,0,0
Labronema,8,54.0,50,0
Labronemella,4,12.0,15,0
Labrys,5,8.0,0,1
Laevides,2,12.0,15,0
Lagenonema,0,6.0,8,0
Lagochilascaris,1,5.0,0,0
Lagostonema,0,1.0,0,0
Lagostrongylus,1,3.0,0,0
Laimaphelenchus,31,19.0,13,10
Laimella,1,7.0,15,0
Laimydorus,9,91.0,50,0
Lamanema,1,1.0,0,0
Lamotheoxyuris,1,0,1,0
Lamyronema,0,1.0,1,0
Lanceimermis,0,23.0,36,0
Lanzavecchia,0,3.0,2,0
Lappetascaris,9,3.0,3,32
Lappnema,0,1.0,1,0
Latocephalus,1,9.0,11,0
Latronema,5,10.0,12,12
Lauratonema,6,13.0,14,0
Lauratonemella,0,1.0,1,0
Lauratonemoides,0,2.0,3,0
Lauroia,2,4.0,0,0
Lauronema,0,1.0,1,0
Laurophragus,0,1.0,1,0
Laurostrongylus,0,1.0,0,0
Laurotravassoxyuris,0,1.0,1,0
Lawtonema,0,1.0,2,0
Laxamphidelus,0,6.0,6,0
Laxonema,0,1.0,1,0
Laxus,7,9.0,9,0
Ledovitia,1,10.0,10,0
Leidynema,4,12.0,14,2
Leidynemella,2,4.0,5,0
Leiperenia,0,3.0,1,0
Leiperiatus,0,1.0,0,0
Leipernema,0,1.0,0,0
Leipoanema,0,1.0,0,0
Leiuris,0,3.0,0,0
Lelenchus,5,5.0,11,0
Lemdana,0,12.0,3,0
Lemuricola,6,9.0,5,0
Lemurostrongylus,0,1.0,0,0
Lenisaphelenchus,1,0,0,0
Lenonchium,2,9.0,7,4
Lepidonema,2,3.0,4,0
Leptepsilonema,1,10.0,11,0
Leptodera,0,1.0,22,0
Leptojacobus,1,1.0,1,0
Leptolaimidae,10,0,2,0
Leptolaimoides,0,9.0,15,0
Leptolaimus,22,39.0,50,0
Leptonchus,2,12.0,17,0
Leptonemella,15,11.0,12,1
Leptoplectonema,0,1.0,2,0
Leptosomatidae,1,0,11,0
Leptosomatides,5,9.0,17,0
Leptosomatina,0,3.0,4,0
Leptosomatum,0,29.0,42,0
Leptosomella,0,2.0,2,0
Lepusius,0,1.0,1,0
Lesjan,0,1.0,1,0
Lesleyella,0,1.0,1,0
Levipalatum,1,1.0,1,0
Libyostrongylus,3,6.0,1,0
Limnomermis,1,28.0,50,0
Limonchulus,0,4.0,4,0
Lindseyus,1,0,5,0
Linhomoeidae,35,0,9,0
Linhomoella,0,1.0,2,0
Linhomoeus,8,16.0,45,0
Linhystera,0,6.0,4,0
Linolaimus,0,1.0,1,0
Linseyus,0,4.0,0,0
Linstowimermis,0,3.0,4,0
Linstowinema,4,13.0,1,0
Linustrongylus,0,1.0,0,0
Lispirurus,0,0.0,0,0
Lissonema,1,0,1,0
Listia,0,3.0,3,0
Litinium,11,20.0,23,8
Litoditis,12,4.0,4,0
Litomosa,66,17.0,6,0
Litomosoides,17,40.0,1,0
Litonema,0,1.0,1,0
Litotes,0,1.0,1,0
Litylenchus,2,2.0,2,0
Loa,1,4.0,1,0
Loaina,0,2.0,0,0
Lobatorobius,0,1.0,1,0
Lobocapillaria,0,4.0,3,0
Lobocriconema,153,23.0,31,1
Lockenloia,0,1.0,1,0
Loffienema,0,1.0,1,0
Loncharionema,0,2.0,2,0
Longibucca,0,3.0,4,0
Longibulbophora,0,2.0,1,0
Longicyatholaimus,7,16.0,36,0
Longidorella,7,30.0,50,2
Longidoridae,1,0,3,0
Longidoroides,0,18.0,16,0
Longidorus,155,183.0,50,20
Longilaimus,0,2.0,2,0
Longimermis,0,1.0,0,0
Longior,5,4.0,5,0
Longistriata,3,71.0,22,0
Longistrongylus,0,9.0,1,0
Longitubopharynx,0,1.0,1,0
Loofilaimus,1,1.0,1,2
Lordellonema,2,17.0,15,0
Loveninema,1,0,2,0
Loxodontofilaria,11,13.0,0,0
Lucionema,0,1.0,1,0
Luella,0,1.0,0,0
Lugamermis,0,2.0,2,0
Lukonema,0,1.0,1,0
Lutznema,0,1.0,0,0
Luzonema,0,1.0,0,0
Lyranema,0,1.0,1,0
Macacanema,0,1.0,0,0
Macdonaldius,0,4.0,0,0
Maciela,0,8.0,1,0
Mackerrastrongylus,1,4.0,1,0
Macramphida,0,1.0,1,0
Macrochromadora,0,1.0,0,0
Macrodontium,0,1.0,1,0
Macrolaimellus,1,4.0,5,0
Macrolaimus,6,12.0,16,0
Macronchus,0,1.0,1,0
Macropicola,1,33.0,0,0
Macroponema,4,2.0,0,0
Macropostrongyloides,7,5.0,0,20
Macropostrongylus,5,6.0,0,0
Macropoxyuris,1,2.0,2,0
Macrostrongylus,0,3.0,1,0
Macrotobrilus,0,1.0,1,0
Macrotrophurus,1,1.0,1,0
Macuahuitloides,1,0.0,1,0
Madafilaroides,0,1.0,0,0
Madangiostrongylus,0,1.0,0,0
Madathamugadia,2,7.0,0,0
Madelinema,0,1.0,0,0
Madochotera,0,1.0,0,0
Mainspinostrongylus,0,1.0,0,0
Makatinus,3,10.0,16,2
Malaistrongylus,0,1.0,0,0
Malakhovia,0,1.0,1,0
Malaspinanema,1,1.0,1,0
Malayfilaria,1,0.0,1,0
Malayocamallanus,0,1.0,0,0
Malayometastrongylus,0,1.0,0,0
Maldivea,1,3.0,2,0
Malekus,0,2.0,2,0
Malenchus,56,46.0,50,3
Malvinema,0,4.0,0,0
Mammalakis,0,3.0,4,0
Mammanidula,0,3.0,0,0
Mammomonogamus,7,6.0,0,0
Manganonema,1,12.0,9,0
Mansonella,71,29.0,2,0
Manunema,2,3.0,5,36
Maplestonema,0,1.0,0,0
Maracaya,0,5.0,0,0
Maragnopsia,0,1.0,1,0
